timestamp,container,cpu_percent,mem_used_b,mem_limit_b,mem_percent,net_rx_b,net_tx_b,blk_read_b,blk_write_b,pids
2025-09-09T21:50:04.9181256+09:00,spring-app,0.56,443967078,8173322764,5.43,40960,28058,0,71270,50
2025-09-09T21:50:04.9181256+09:00,my-postgres,0.00,180250214,8173322764,2.21,1084479242,1771674010,123731968,4198,17
2025-09-09T21:50:09.6375669+09:00,spring-app,44.68,457074278,8173322764,5.59,130048,128000,0,71270,53
2025-09-09T21:50:09.6375669+09:00,my-postgres,1.50,181403648,8173322764,2.22,1084479242,1771674010,123731968,4198,17
2025-09-09T21:50:14.5807771+09:00,spring-app,28.79,458961715,8173322764,5.62,181248,187392,0,71270,53
2025-09-09T21:50:14.5807771+09:00,my-postgres,7.40,181403648,8173322764,2.22,1084479242,1771674010,123731968,4198,17
2025-09-09T21:50:19.6197805+09:00,spring-app,21.94,462736589,8173322764,5.66,265216,285696,0,71270,53
2025-09-09T21:50:19.6197805+09:00,my-postgres,7.34,181403648,8173322764,2.22,1084479242,1771674010,123731968,4198,17
2025-09-09T21:50:24.5527241+09:00,spring-app,31.27,466406605,8173322764,5.71,315392,345088,0,88064,53
2025-09-09T21:50:24.5527241+09:00,my-postgres,1.44,181403648,8173322764,2.22,1084479242,1771674010,123731968,4198,17
2025-09-09T21:50:29.5214790+09:00,spring-app,28.61,467350323,8173322764,5.72,399360,441344,0,88064,53
2025-09-09T21:50:29.5214790+09:00,my-postgres,1.32,181403648,8173322764,2.22,1084479242,1771674010,123731968,4198,17
2025-09-09T21:50:34.4712464+09:00,spring-app,18.27,468503757,8173322764,5.73,450560,500736,0,88064,53
2025-09-09T21:50:34.4712464+09:00,my-postgres,1.38,183186227,8173322764,2.24,1084479242,1771674010,123731968,4198,18
2025-09-09T21:50:39.5152842+09:00,spring-app,614.86,556164710,8173322764,6.81,1593836,1604321,0,100659,246
2025-09-09T21:50:39.5152842+09:00,my-postgres,44.74,204262605,8173322764,2.50,1084479242,1771674010,123731968,4198,28
2025-09-09T21:50:44.5657588+09:00,spring-app,597.18,649907405,8173322764,7.95,4603249,4875878,0,100659,246
2025-09-09T21:50:44.5657588+09:00,my-postgres,61.25,204262605,8173322764,2.50,1084479242,1771674010,123731968,4198,28
2025-09-09T21:50:49.6449344+09:00,spring-app,573.74,654835712,8173322764,8.01,8566866,9363784,0,100659,246
2025-09-09T21:50:49.6449344+09:00,my-postgres,63.81,204262605,8173322764,2.50,1095216660,1782411428,123731968,4198,28
2025-09-09T21:50:54.6751406+09:00,spring-app,512.00,705272218,8173322764,8.63,13107200,14470349,0,117760,248
2025-09-09T21:50:54.6751406+09:00,my-postgres,87.59,204157747,8173322764,2.50,1095216660,1782411428,123731968,4198,28
2025-09-09T21:50:59.8149002+09:00,spring-app,536.83,712821965,8173322764,8.72,17301504,19398656,0,117760,246
2025-09-09T21:50:59.8149002+09:00,my-postgres,86.57,204262605,8173322764,2.50,1095216660,1782411428,123731968,4198,28
2025-09-09T21:51:05.4874660+09:00,spring-app,699.86,726034022,8173322764,8.88,20237517,22754099,0,117760,246
2025-09-09T21:51:05.4874660+09:00,my-postgres,118.46,207198618,8173322764,2.53,1095216660,1793148846,123731968,4198,31
2025-09-09T21:51:10.0755182+09:00,spring-app,463.94,749522125,8173322764,9.17,25060966,28311552,0,134144,246
2025-09-09T21:51:10.0755182+09:00,my-postgres,98.26,204472320,8173322764,2.50,1105954079,1793148846,123731968,4198,28
2025-09-09T21:51:15.2751113+09:00,spring-app,452.33,749626982,8173322764,9.17,31037850,35127296,0,134144,244
2025-09-09T21:51:15.2751113+09:00,my-postgres,126.02,204262605,8173322764,2.50,1105954079,1793148846,123731968,4198,28
2025-09-09T21:51:19.9487566+09:00,spring-app,398.74,742286950,8173322764,9.08,37014733,42047898,0,134144,244
2025-09-09T21:51:19.9487566+09:00,my-postgres,119.21,204472320,8173322764,2.50,1105954079,1803886264,123731968,4198,28
2025-09-09T21:51:25.1035408+09:00,spring-app,409.96,742601523,8173322764,9.09,43096474,48968499,0,134144,244
2025-09-09T21:51:25.1035408+09:00,my-postgres,119.13,204262605,8173322764,2.50,1116691497,1803886264,123731968,4198,28
2025-09-09T21:51:30.1974649+09:00,spring-app,428.01,741972378,8173322764,9.08,49178214,55993958,0,146432,244
2025-09-09T21:51:30.1974649+09:00,my-postgres,112.16,204262605,8173322764,2.50,1116691497,1814623683,123731968,4198,28
2025-09-09T21:51:35.2871870+09:00,spring-app,401.98,740714086,8173322764,9.06,56413389,64382566,0,146432,244
2025-09-09T21:51:35.2871870+09:00,my-postgres,114.88,204472320,8173322764,2.50,1116691497,1825361101,123731968,4198,28
2025-09-09T21:51:39.8929760+09:00,spring-app,354.63,742286950,8173322764,9.08,63124275,72142029,0,146432,244
2025-09-09T21:51:39.8929760+09:00,my-postgres,99.53,204262605,8173322764,2.50,1127428915,1825361101,123731968,4198,28
2025-09-09T21:51:44.9372313+09:00,spring-app,348.55,791570022,8173322764,9.69,68891443,78852915,0,159744,244
2025-09-09T21:51:44.9372313+09:00,my-postgres,114.77,204472320,8173322764,2.50,1127428915,1836098519,123731968,4198,28
2025-09-09T21:51:50.0210288+09:00,spring-app,379.19,791989453,8173322764,9.69,75812045,86507520,0,159744,244
2025-09-09T21:51:50.0210288+09:00,my-postgres,101.79,204157747,8173322764,2.50,1127428915,1836098519,123731968,4198,28
2025-09-09T21:51:55.0539300+09:00,spring-app,343.86,791989453,8173322764,9.69,83990938,95734989,0,159744,244
2025-09-09T21:51:55.0539300+09:00,my-postgres,103.78,204472320,8173322764,2.50,1138166333,1846835937,123731968,4198,28
2025-09-09T21:51:59.9995268+09:00,spring-app,332.07,791779738,8173322764,9.69,90596966,103075021,0,159744,244
2025-09-09T21:51:59.9995268+09:00,my-postgres,100.97,204157747,8173322764,2.50,1138166333,1846835937,123731968,4198,28
2025-09-09T21:52:05.0516247+09:00,spring-app,300.50,792094310,8173322764,9.69,97412710,111149056,0,172032,244
2025-09-09T21:52:05.0516247+09:00,my-postgres,94.55,204472320,8173322764,2.50,1148903752,1857573356,123731968,4198,28
2025-09-09T21:52:10.0460497+09:00,spring-app,303.06,792094310,8173322764,9.69,104018739,118489088,0,172032,244
2025-09-09T21:52:10.0460497+09:00,my-postgres,103.07,204262605,8173322764,2.50,1148903752,1857573356,123731968,4198,28
2025-09-09T21:52:15.1611025+09:00,spring-app,310.29,791884595,8173322764,9.69,111149056,125829120,0,172032,244
2025-09-09T21:52:15.1611025+09:00,my-postgres,103.56,204472320,8173322764,2.50,1148903752,1868310774,123731968,4198,28
2025-09-09T21:52:20.0768603+09:00,spring-app,294.18,791989453,8173322764,9.69,117440512,133169152,0,184320,244
2025-09-09T21:52:20.0768603+09:00,my-postgres,92.70,204157747,8173322764,2.50,1159641170,1868310774,123731968,4198,28
2025-09-09T21:52:25.2056534+09:00,spring-app,310.79,793142886,8173322764,9.70,124780544,140509184,0,184320,244
2025-09-09T21:52:25.2056534+09:00,my-postgres,94.36,204157747,8173322764,2.50,1159641170,1879048192,123731968,4198,28
2025-09-09T21:52:30.0199087+09:00,spring-app,354.54,792408883,8173322764,9.70,131072000,147849216,0,184320,244
2025-09-09T21:52:30.0199087+09:00,my-postgres,108.35,204996608,8173322764,2.51,1170378588,1889785610,123731968,4198,28
2025-09-09T21:52:35.1984901+09:00,spring-app,412.04,792304026,8173322764,9.69,137363456,155189248,0,197632,244
2025-09-09T21:52:35.1984901+09:00,my-postgres,122.10,204262605,8173322764,2.50,1170378588,1889785610,123731968,4198,28
2025-09-09T21:52:40.2662711+09:00,spring-app,408.91,792304026,8173322764,9.69,144703488,163577856,0,197632,244
2025-09-09T21:52:40.2662711+09:00,my-postgres,121.39,204262605,8173322764,2.50,1170378588,1900523028,123731968,4198,28
2025-09-09T21:52:45.3604336+09:00,spring-app,382.23,792828314,8173322764,9.70,150994944,170917888,0,197632,244
2025-09-09T21:52:45.3604336+09:00,my-postgres,111.63,204157747,8173322764,2.50,1181116006,1900523028,123731968,4198,28
2025-09-09T21:52:49.9626331+09:00,spring-app,308.11,792304026,8173322764,9.69,157286400,178257920,0,197632,244
2025-09-09T21:52:49.9626331+09:00,my-postgres,102.72,206674330,8173322764,2.53,1181116006,1911260447,123731968,4198,31
2025-09-09T21:52:54.9872155+09:00,spring-app,308.09,792304026,8173322764,9.69,164626432,185597952,0,209920,244
2025-09-09T21:52:54.9872155+09:00,my-postgres,95.92,204472320,8173322764,2.50,1181116006,1911260447,123731968,4198,28
2025-09-09T21:53:00.0053959+09:00,spring-app,347.76,792618598,8173322764,9.70,170917888,192937984,0,209920,244
2025-09-09T21:53:00.0053959+09:00,my-postgres,107.34,204157747,8173322764,2.50,1191853425,1921997865,123731968,4198,28
2025-09-09T21:53:05.1219729+09:00,spring-app,330.89,792723456,8173322764,9.70,176160768,199229440,0,209920,244
2025-09-09T21:53:05.1219729+09:00,my-postgres,97.80,204682035,8173322764,2.50,1191853425,1921997865,123731968,4198,28
2025-09-09T21:53:10.0675175+09:00,spring-app,302.14,793038029,8173322764,9.70,184549376,208666624,0,209920,244
2025-09-09T21:53:10.0675175+09:00,my-postgres,94.65,204891750,8173322764,2.51,1202590843,1932735283,123731968,4198,28
2025-09-09T21:53:15.0851143+09:00,spring-app,322.08,792513741,8173322764,9.70,190840832,216006656,0,209920,244
2025-09-09T21:53:15.0851143+09:00,my-postgres,99.61,204577178,8173322764,2.50,1202590843,1932735283,123731968,4198,28
2025-09-09T21:53:19.9782098+09:00,spring-app,332.98,792828314,8173322764,9.70,198180864,223346688,0,209920,244
2025-09-09T21:53:19.9782098+09:00,my-postgres,111.71,204577178,8173322764,2.50,1202590843,1943472701,123731968,4198,28
2025-09-09T21:53:25.0070142+09:00,spring-app,355.90,793142886,8173322764,9.70,204472320,230686720,0,222208,244
2025-09-09T21:53:25.0070142+09:00,my-postgres,117.66,204577178,8173322764,2.50,1213328261,1943472701,123731968,4198,28
2025-09-09T21:53:30.2786079+09:00,spring-app,393.22,794715750,8173322764,9.72,211812352,238026752,0,222208,246
2025-09-09T21:53:30.2786079+09:00,my-postgres,119.15,204577178,8173322764,2.50,1213328261,1954210120,123731968,4198,28
2025-09-09T21:53:35.3050701+09:00,spring-app,403.70,792828314,8173322764,9.70,218103808,246415360,0,222208,244
2025-09-09T21:53:35.3050701+09:00,my-postgres,108.07,204682035,8173322764,2.50,1213328261,1954210120,123731968,4198,28
2025-09-09T21:53:40.0622868+09:00,spring-app,405.45,792618598,8173322764,9.70,225443840,253755392,0,222208,244
2025-09-09T21:53:40.0622868+09:00,my-postgres,116.14,204682035,8173322764,2.50,1224065679,1964947538,123731968,4198,28
2025-09-09T21:53:45.1034223+09:00,spring-app,351.83,793981747,8173322764,9.71,232783872,261095424,0,222208,244
2025-09-09T21:53:45.1034223+09:00,my-postgres,109.62,204682035,8173322764,2.50,1224065679,1975684956,123731968,4198,28
2025-09-09T21:53:50.3420851+09:00,spring-app,393.39,793772032,8173322764,9.71,239075328,268435456,0,222208,244
2025-09-09T21:53:50.3420851+09:00,my-postgres,114.80,205101466,8173322764,2.51,1234803098,1975684956,123731968,4198,28
2025-09-09T21:53:55.3851481+09:00,spring-app,338.30,794086605,8173322764,9.72,246415360,276824064,0,222208,244
2025-09-09T21:53:55.3851481+09:00,my-postgres,104.60,204996608,8173322764,2.51,1234803098,1986422374,123731968,4198,28
